A-ffirmative!,👍
Bedtime!,🛏️
Being an ambassador is exciting!,🤝
Bye Ghost-bus! Thank you a million!,🚌
Chris' last wish was that we be heroes.,🎖️
Clap your hands if you believe.,👏
Detective Catbug and his trusty sidekick... Inspector Clue-friend!,🔍
Do not make me regret the day I purchased you from 'Wenchs-n-things'!,🛒
Don't drink the juice! Please and thank you!,🧃
Don't hit me!,❌
Everything is broken!,🚧
Everything is okay!,👌
"Goodbye Sir Jeffers, I will always love you...",💔
He says he wants more carrots and bread crumbs!,🥕
"How dare you sir, how very dare you!",🎩
I don't like the dark!,🌃
I don't wanna be in charge!,👑
I got everybody juice-boxes!,🧃
I HAVE A SECRET FOR YOU!,🤐
I have stage 4 gurglies.,🤤
I learnt that when you say sorry... And really mean it... People give you hugs!,🥺
I like your pointy yellow hair.,💈
I love pressing buttons!,⌨️
"I love you, Rebecca!",🥰
I made scarves for everyone!,🧣
I make a better door than a window!,🚪
I need a bath... Some yoghurt... And place to go doody!,🚽
I'M A BOMB!,💣
I'm Captain Catbug.,⛵
I'm Catbug!,🐞
I'm Catbug! Please and thank you!,🐞
"I'm not listening to you, because I'm chewing on these popcorns!",🍿
I'm the pepperoni-kid.,🤠
I'm very very sorry.,🥺
I've got sugar-farts.,💨
It's scary prison time.,🚓
Meanwhile at the Bravest Warrior's invisible hideout...,🫥
"Mexican touchdown, mexican touchdown, mexican mexican!",🪇
My mouth is a party! And *everything* is invited!,🥳
My name is Catbug. What's yours?,🐞
My name is Freshbug and I'm here to say...,😎
Officer Vasquez! Control your lady-friend!,🚀
"Ok Bub, but I've got my eyeballs on you, so *don't leave town*.",🕵️
"Pony Lords, jump for your lives!",🐎
Put a little fence around it!,⚠️
Ralph Waldo Pickle Chips! I don't know him.,🤔
Someone throw that noisy thing *out* the airlock.,🚀
Space liquorice!,🌌
Sugar Peas!,🫛
That one melted! I'll fix it.,🍦
"The mysterious wedding, has been our wedding all along.",💍
There you are! Yeeesss.,🍺
"This is Catbug. Hi, Chris! Over.",🐞
"This is my favourite flavour, you can have my *third* favourite.",🧃
Throw a blanket over it!,⚠️
"Two shelves in the fridge, and Danny can be your prisoner, but only on weekdays. Please and thank you!",🤝
We did it!,🍾
We didn't do it!,❌
"What? Danny's not even mad, it's no biggy...",🤷
When people give you hugs... They're really really easy to steal from!,💰
Where's my big ol' beer?,🍺
Why are we running?,🏃
Why would you do that?,😨
"You are in a position to demand nothing, Kitchen-wench Tezuka!",🚀
You could only hear it with a stethoscope.,🩺
YOU HAVE A GOOD HEART!,💖
You're my friends now. We're having soft tacos later.,🌮
"You've failed me for the last time, Pleasure-clone Tezuka!",🚀
"Your mom said to say, I could have just *one* peanut-butter square, but not 'til after they cool down.",🥜
