Aurora,Experimental,Interceptor,100,220
Bronco,Light,Warbird,140,60
Drakon,Heavy,Fighter,160,160
Falke,Light,Interceptor,60,140
Kirin,Swing-wing,Fighter,100,100
Kondor,Light,Bomber,140,60
Medved,Heavy,Bomber,260,100
Monarch,Experimental,Fighter,100,100
Odin,Experimental,Bomber,220,100
Oni,Swing-wing,Bomber,200,80
Orca,Heavy,Interceptor,100,260
Puma,Heavy,Warbird,260,100
Raiju,Swing-wing,Interceptor,80,200
Rogue,Medium,Fighter,100,100
Rogue II,Experimental,Fighter,120,120
Schwalbe,Light,Fighter,80,100
Tengu,Experimental,Fighter,120,120
Vector,Medium,Interceptor,80,200
Zulu,Medium,Bomber,200,80
Viper,Modded,Fighter,120,120
Siren,Modded,Fighter,100,100
Olm,Modded,Interceptor,80,160
Mudpuppy,Modded,Bomber,160,80
Salamander,Modded,Fighter,120,120
Naja,Modded,Interceptor,100,200
Boa,Modded,Bomber,200,100
Python,Modded,Fighter,130,130
Vishnu,Modded,Fighter,120,120
Shiva,Modded,Interceptor,100,200
Brahma,Modded,Bomber,200,100
Aquila,Modded,Fighter,160,160
Phoenix,Modded,Interceptor,120,240
Thunderbird,Modded,Bomber,240,120
Jian,Modded,Fighter,140,140
Atlas,Modded,Fighter,90,90
Artemis,Modded,Interceptor,80,100
Acala,Modded,Bomber,100,80
Garuda,Modded,Fighter,80,80
Janus,Modded,Fighter,60,60
